energy_center_MeV,annihil,compt,conv,primary,other,total
1.432500,1.000000,0.000000,0.000000,25.000000,3.000000,29.000000
1.437500,0.000000,0.000000,1.000000,26.000000,3.000000,30.000000
1.442500,1.000000,1.000000,2.000000,20.000000,2.000000,26.000000
1.447500,1.000000,2.000000,0.000000,27.000000,5.000000,35.000000
1.452500,3.000000,0.000000,0.000000,21.000000,4.000000,28.000000
1.457500,0.000000,0.000000,1.000000,23.000000,2.000000,26.000000
1.462500,0.000000,0.000000,0.000000,27.000000,2.000000,29.000000
1.467500,0.000000,0.000000,1.000000,23.000000,1.000000,25.000000
1.472500,0.000000,0.000000,0.000000,24.000000,3.000000,27.000000
1.477500,0.000000,4.000000,0.000000,24.000000,4.000000,32.000000
1.482500,0.000000,0.000000,0.000000,21.000000,2.000000,23.000000
1.487500,0.000000,2.000000,0.000000,28.000000,3.000000,33.000000
1.492500,0.000000,0.000000,1.000000,20.000000,0.000000,21.000000
1.497500,1.000000,1.000000,1.000000,30.000000,4.000000,37.000000
1.502500,0.000000,0.000000,1.000000,30.000000,2.000000,33.000000
1.507500,1.000000,2.000000,2.000000,30.000000,1.000000,36.000000
1.512500,0.000000,0.000000,0.000000,25.000000,1.000000,26.000000
1.517500,2.000000,0.000000,1.000000,28.000000,3.000000,34.000000
1.522500,1.000000,1.000000,0.000000,36.000000,2.000000,40.000000
1.527500,1.000000,1.000000,2.000000,24.000000,1.000000,29.000000
1.532500,0.000000,2.000000,3.000000,23.000000,5.000000,33.000000
1.537500,0.000000,1.000000,3.000000,23.000000,3.000000,30.000000
1.542500,1.000000,0.000000,0.000000,14.000000,2.000000,17.000000
1.547500,2.000000,1.000000,1.000000,23.000000,2.000000,29.000000
1.552500,2.000000,0.000000,1.000000,30.000000,0.000000,33.000000
1.557500,0.000000,3.000000,0.000000,25.000000,3.000000,31.000000
1.562500,1.000000,0.000000,0.000000,26.000000,1.000000,28.000000
1.567500,1.000000,2.000000,0.000000,22.000000,2.000000,27.000000
1.572500,1.000000,0.000000,0.000000,32.000000,2.000000,35.000000
1.577500,0.000000,1.000000,0.000000,23.000000,3.000000,27.000000
1.582500,0.000000,0.000000,1.000000,24.000000,6.000000,31.000000
1.587500,1.000000,1.000000,2.000000,30.000000,2.000000,36.000000
1.592500,0.000000,1.000000,3.000000,21.000000,4.000000,29.000000
1.597500,0.000000,3.000000,2.000000,26.000000,0.000000,31.000000
1.602500,0.000000,1.000000,2.000000,20.000000,5.000000,28.000000
1.607500,0.000000,0.000000,1.000000,33.000000,2.000000,36.000000
1.612500,0.000000,1.000000,0.000000,33.000000,2.000000,36.000000
1.617500,0.000000,0.000000,3.000000,31.000000,0.000000,34.000000
1.622500,0.000000,2.000000,0.000000,26.000000,1.000000,29.000000
1.627500,0.000000,1.000000,3.000000,30.000000,1.000000,35.000000
1.632500,2.000000,0.000000,3.000000,26.000000,2.000000,33.000000
1.637500,1.000000,1.000000,0.000000,31.000000,3.000000,36.000000
1.642500,1.000000,2.000000,1.000000,22.000000,2.000000,28.000000
